date,closing,adjusted,evolution,quantity,volume
2021-06-12,1295.0,1295.0,-0.38,1.0,1295.0
2021-06-14,1221.0,1221.0,0.08,186.0,227106.0
2021-06-15,1221.0,1221.0,0.0,1171.0,1429791.0
2021-06-16,1225.0,1225.0,0.33,1.0,1225.0
2021-06-17,1225.0,1225.0,0.0,1.0,1225.0
2021-06-18,1204.0,1204.0,-1.71,100.0,120400.0
2021-06-21,1212.0,1212.0,0.66,1.0,1212.0
2021-06-22,1212.0,1212.0,0.0,1.0,1212.0
2021-06-23,1212.0,1212.0,0.0,1.0,1212.0
2021-06-24,1212.0,1212.0,0.0,1.0,1212.0
2021-06-25,1225.0,1225.0,1.07,21.0,25725.0
2021-06-28,1225.0,1225.0,0.0,1.0,1225.0
2021-06-29,1225.0,1225.0,0.0,1.0,1225.0
2021-06-30,1225.0,1225.0,0.0,1.0,1225.0
2021-07-01,1111.0,1111.0,0.0,1.0,1111.0
2021-07-04,1162.0,1162.0,0.0,1.0,1162.0
2021-07-05,1189.0,1189.0,0.0,1.0,1189.0
2021-07-06,1212.0,1212.0,0.0,1.0,1212.0
2021-07-07,1225.0,1225.0,0.0,1.0,1225.0
2021-07-09,1220.0,1220.0,0.0,1.0,1220.0
2021-07-10,1254.0,1254.0,0.32,1.0,1254.0
2021-07-12,1295.0,1295.0,0.0,1.0,1295.0
2021-07-13,1225.0,1225.0,0.0,1.0,1225.0
2021-07-14,1225.0,1225.0,0.0,1.0,1225.0
2021-07-15,1225.0,1225.0,0.0,1.0,1225.0
2021-07-16,1225.0,1225.0,0.0,1.0,1225.0
2021-07-19,1225.0,1225.0,0.0,1.0,1225.0
2021-07-20,1225.0,1225.0,0.0,1.0,1225.0
2021-07-23,1225.0,1225.0,0.0,1.0,1225.0
2021-07-26,1225.0,1225.0,0.0,1.0,1225.0
2021-07-27,1225.0,1225.0,0.0,1.0,1225.0
2021-07-28,1225.0,1225.0,0.0,1.0,1225.0
2021-07-29,1225.0,1225.0,0.0,1.0,1225.0
2021-08-01,1090.0,1090.0,-1.89,13.0,14170.0
2021-08-02,1138.0,1138.0,0.62,1.0,1138.0
2021-08-03,1165.0,1165.0,0.0,1.0,1165.0
2021-08-04,1162.0,1162.0,0.0,1.0,1162.0
2021-08-06,1215.0,1215.0,0.25,2500.0,3037500.0
2021-08-07,1225.0,1225.0,0.0,1.0,1225.0
2021-08-09,1220.0,1220.0,0.0,1.0,1220.0
2021-08-10,1260.0,1260.0,0.48,1.0,1260.0
2021-08-11,1360.0,1360.0,0.0,1.0,1360.0
2021-08-12,1297.0,1297.0,0.15,1.0,1297.0
2021-08-13,1246.0,1246.0,0.0,1.0,1246.0
2021-08-16,1203.0,1203.0,0.33,1.0,1203.0
2021-08-17,1203.0,1203.0,0.0,1.0,1203.0
2021-08-18,1205.0,1205.0,0.17,1.0,1205.0
2021-08-19,1225.0,1225.0,1.66,50.0,61250.0
2021-08-23,1228.0,1228.0,0.24,1.0,1228.0
2021-08-24,1225.0,1225.0,-0.24,1.0,1225.0
2021-08-25,1202.0,1202.0,-1.88,4.0,4808.0
2021-08-26,1212.0,1212.0,0.83,1.0,1212.0
2021-08-27,1212.0,1212.0,0.0,1.0,1212.0
2021-08-30,1235.0,1235.0,1.9,10.0,12334.0
2021-08-31,1212.0,1212.0,-1.86,10.0,12120.0
2021-09-02,1141.0,1141.0,0.26,1.0,1141.0
2021-09-03,1143.0,1143.0,-1.89,4.0,4572.0
2021-09-04,1162.0,1162.0,0.0,1.0,1162.0
2021-09-06,1200.0,1200.0,-1.23,4502.0,5492071.0
2021-09-07,1225.0,1225.0,0.0,1.0,1225.0
2021-09-08,1246.0,1246.0,0.0,1.0,1246.0
2021-09-09,1220.0,1220.0,0.0,1.0,1220.0
2021-09-11,1360.0,1360.0,0.0,1.0,1360.0
2021-09-12,1295.0,1295.0,-0.15,1.0,1295.0
2021-09-13,1220.0,1220.0,0.0,1.0,1220.0
2021-09-14,1220.0,1220.0,0.0,1.0,1220.0
2021-09-15,1220.0,1220.0,0.0,2819.0,3439180.0
2021-09-16,1220.0,1220.0,0.0,1500.0,1830000.0
2021-09-17,1220.0,1220.0,0.0,1.0,1220.0
2021-09-20,1220.0,1220.0,0.0,1.0,1220.0
2021-09-21,1220.0,1220.0,0.0,1.0,1220.0
2021-09-22,1220.0,1220.0,0.0,1.0,1220.0
2021-09-23,1220.0,1220.0,0.0,1.0,1220.0
2021-09-24,1220.0,1220.0,0.0,1.0,1220.0
2021-09-27,1220.0,1220.0,0.0,1.0,1220.0
2021-09-28,1243.0,1243.0,1.89,21.0,26103.0
2021-09-29,1234.0,1234.0,-0.72,1.0,1234.0
2021-09-30,1234.0,1234.0,0.0,1.0,1234.0
2021-10-02,1141.0,1141.0,0.0,1.0,1141.0
