,date,closing,adjusted,evolution,quantity,volume
166,2020-09-01,73.0,73.0,2.82,1242.0,90299.65
167,2020-09-03,68.0,68.0,-2.16,3183.0,218820.88
168,2020-09-04,61.3,61.3,0.51,1308.0,80178.0
169,2020-09-06,68.18,68.18,-3.97,4877.0,335115.73
170,2020-09-07,69.79,69.79,0.0,0.0,0.0
171,2020-09-09,72.5,72.5,1.54,123232.0,8639641.9
172,2020-09-10,81.0,81.0,0.62,4.0,322.5
173,2020-09-11,81.9,81.9,1.11,198.0,16022.4
174,2020-09-12,80.0,80.0,0.0,463.0,36923.8
175,2020-09-14,76.5,76.5,3.38,2916.0,221079.2
176,2020-09-15,77.5,77.5,1.31,1763.0,137116.2
177,2020-09-16,78.0,78.0,0.65,102.0,7935.03
178,2020-09-17,77.03,77.03,-1.24,149.0,11477.47
179,2020-09-18,76.0,76.0,-1.34,1913.0,145418.25
180,2020-09-21,76.9,76.9,1.18,991.0,74566.32
181,2020-09-22,76.0,76.0,-1.17,1787.0,135855.5
182,2020-09-23,77.3,77.3,1.71,130.0,9949.0
183,2020-09-24,77.0,77.0,-0.39,1011.0,77852.0
184,2020-09-25,77.5,77.5,0.65,257.0,19976.98
185,2020-09-28,78.7,78.7,1.55,1140.0,89718.0
186,2020-09-29,78.0,78.0,-0.89,830.0,64165.52
187,2020-09-30,78.5,78.5,0.64,942.0,73616.0
188,2020-10-01,75.0,75.0,2.74,8945.0,663219.43
189,2020-10-02,78.0,78.0,-2.5,140.0,10889.05
190,2020-10-03,73.3,73.3,7.79,3775.0,274154.34
191,2020-10-04,59.01,59.01,-3.74,3048.0,180006.6
192,2020-10-06,69.0,69.0,1.2,1415.0,96955.3
193,2020-10-07,69.75,69.75,-0.06,86.0,5986.0
194,2020-10-08,70.0,70.0,-2.78,1435.0,100456.2
195,2020-10-09,72.38,72.38,-0.17,320.0,23135.2
196,2020-10-11,80.0,80.0,-2.32,70.0,5600.0
197,2020-10-12,80.0,80.0,0.0,450.0,36030.0
198,2020-10-13,79.5,79.5,1.15,2062.0,162835.34
199,2020-10-14,80.5,80.5,1.26,997.0,79653.0
200,2020-10-15,79.9,79.9,-0.75,550.0,44305.0
201,2020-10-16,80.5,80.5,0.75,2780.0,222629.5
202,2020-10-19,80.0,80.0,-0.62,360.0,28800.0
203,2020-10-20,79.0,79.0,-1.25,1915.0,152148.72
204,2020-10-21,80.0,80.0,1.27,301.0,24006.0
205,2020-10-22,79.95,79.95,-0.06,3086.0,244718.45
206,2020-10-23,80.0,80.0,0.06,3130.0,250049.4
207,2020-10-26,80.0,80.0,0.0,380.0,30366.79
208,2020-10-27,79.98,79.98,-0.03,640.0,50565.87
209,2020-10-28,79.98,79.98,0.0,492.0,38812.38
210,2020-11-02,78.01,78.01,0.01,20.0,1560.2
211,2020-11-03,73.3,73.3,0.0,900.0,65450.0
212,2020-11-05,63.9,63.9,0.0,0.0,0.0
213,2020-11-06,68.0,68.0,-1.45,611.0,41516.0
214,2020-11-08,70.0,70.0,0.0,0.0,0.0
215,2020-11-09,74.0,74.0,2.24,25218.0,1849630.8
216,2020-11-11,80.0,80.0,0.0,10020.0,801584.7
217,2020-11-12,80.0,80.0,0.0,872.0,70260.0
218,2020-11-13,82.5,82.5,0.0,401.0,33080.86
219,2020-11-16,82.5,82.5,0.0,602.0,49259.94
220,2020-11-17,80.86,80.86,-1.99,20.0,1622.9
221,2020-11-19,82.0,82.0,1.41,425.0,34850.0
222,2020-11-20,82.29,82.29,0.35,2373.0,195273.0
223,2020-11-23,82.17,82.17,-0.15,3.0,246.51
224,2020-11-24,82.17,82.17,0.0,340.0,27937.8
225,2020-11-25,81.98,81.98,-0.23,1160.0,94865.5
226,2020-11-26,81.97,81.97,-0.01,1060.0,86130.0
227,2020-11-27,81.9,81.9,-0.09,3109.0,254623.5
228,2020-11-30,81.0,81.0,-1.1,145.0,11757.6
229,2020-12-02,78.01,78.01,0.0,90.0,7020.4
230,2020-12-03,66.0,66.0,-9.96,7446.0,501324.1
231,2020-12-05,63.97,63.97,0.11,53.0,3401.91
232,2020-12-06,68.0,68.0,0.0,1620.0,110040.0
233,2020-12-08,71.0,71.0,1.43,1221.0,84670.9
234,2020-12-10,78.6,78.6,-2.96,1790.0,140866.95
235,2020-12-11,82.5,82.5,3.13,318.0,26164.2
236,2020-12-14,80.0,80.0,0.0,319.0,25570.0
237,2020-12-15,80.5,80.5,0.63,910.0,73150.0
238,2020-12-16,80.5,80.5,0.0,0.0,0.0
239,2020-12-17,83.0,83.0,3.11,16739.0,1373807.31
240,2020-12-18,82.9,82.9,-0.12,2200.0,182497.0
